Mã chứng khoán,Sàn giao dịch,Tên công ty,Ngành nghề
A32,UPCOM,Công ty Cổ phần 32,Hàng cá nhân
AAA,HSX,Công ty Cổ phần Nhựa An Phát Xanh,Hóa chất
AAH,UPCOM,Công ty Cổ phần Hợp Nhất,Khai khoáng
AAM,HSX,Công ty Cổ Phần Thủy Sản MeKong,Sản xuất thực phẩm
AAS,UPCOM,Công ty Cổ phần Chứng khoán SmartInvest,Dịch vụ tài chính
AAT,HSX,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Hàng cá nhân
AAV,HNX,Công ty Cổ phần AAV Group,Bất động sản
ABB,UPCOM,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng
ABC,UPCOM,Công ty Cổ phần Truyền thông VMG,Viễn thông di động
ABI,UPCOM,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,Bảo hiểm phi nhân thọ
ABR,HSX,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Tư vấn & Hỗ trợ Kinh doanh
ABS,HSX,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Hóa chất
ABT,HSX,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Sản xuất thực phẩm
ABW,UPCOM,Công ty Cổ phần Chứng khoán An Bình,Dịch vụ tài chính
ACB,HSX,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng
ACC,HSX,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Xây dựng và Vật liệu
ACE,UPCOM,Công ty Cổ phần Bê tông ly tâm An Giang,Xây dựng và Vật liệu
ACG,HSX,Công ty Cổ phần Gỗ An Cường,Lâm nghiệp và Giấy
ACL,HSX,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Sản xuất thực phẩm
ACM,UPCOM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,Khai khoáng
ACS,UPCOM,Công ty Cổ phần Xây lắp Thương mại 2,Xây dựng và Vật liệu
ACV,UPCOM,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Vận tải
ADC,HNX,Công ty Cổ phần Mĩ thuật và Truyền thông,Truyền thông
ADG,HSX,Công ty Cổ phần Clever Group,Truyền thông
ADP,HSX,Công ty Cổ phần Sơn Á Đông,Xây dựng và Vật liệu
ADS,HSX,Công ty Cổ phần DAMSAN,Hàng cá nhân
AFX,UPCOM,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,Phân phối thực phẩm & dược phẩm
AG1,UPCOM,Công ty Cổ phần 28.1,Hàng cá nhân
AGF,UPCOM,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,Sản xuất thực phẩm
AGG,HSX,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản
AGM,HSX,Công ty Cổ phần Xuất nhập khẩu An Giang,Sản xuất thực phẩm
AGP,UPCOM,Công ty Cổ phần Dược phẩm AGIMEXPHARM,Dược phẩm
AGR,HSX,Công ty Cổ phần Chứng khoán AGRIBANK,Dịch vụ tài chính
AGX,UPCOM,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Phân phối thực phẩm & dược phẩm
AIC,UPCOM,Tổng Công ty Cổ phần Bảo hiểm Hàng không,Bảo hiểm phi nhân thọ
AIG,UPCOM,Công ty Cổ phần Nguyên liệu Á Châu AIG,Sản xuất thực phẩm
ALT,HNX,Công ty Cổ phần Văn hóa Tân Bình,Truyền thông
ALV,UPCOM,Công ty Cổ phần Xây dựng ALVICO,Xây dựng và Vật liệu
AMC,HNX,Công ty Cổ phần Khoáng sản Á Châu,Khai khoáng
AMD,UPCOM,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,Bất động sản
AME,HNX,Công ty cổ phần Alphanam E&C,Điện tử & Thiết bị điện
AMP,UPCOM,Công ty Cổ phần Armephaco,Dược phẩm
AMS,UPCOM,Công ty Cổ phần Cơ khí Xây dựng AMECC,Tư vấn & Hỗ trợ Kinh doanh
AMV,HNX,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Thiết bị và Dịch vụ Y tế
ANT,UPCOM,Công ty Cổ phần Rau quả Thực phẩm An Giang,Sản xuất thực phẩm
ANV,HSX,Công ty Cổ phần Nam Việt,Sản xuất thực phẩm
APC,UPCOM,Công ty Cổ phần Chiếu xạ An Phú,Dược phẩm
APF,UPCOM,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,Sản xuất thực phẩm
APG,HSX,Công ty Cổ phần Chứng khoán APG,Dịch vụ tài chính
APH,HSX,Công ty Cổ phần Tập đoàn An Phát Holdings,Hàng công nghiệp
API,HNX,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,Bất động sản
APL,UPCOM,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,Công nghiệp nặng
APP,UPCOM,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,Hóa chất
APS,HNX,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Dịch vụ tài chính
APT,UPCOM,Công ty Cổ phần Kinh doanh thủy hải sản Sài Gòn,Sản xuất thực phẩm
ARM,HNX,Công ty Cổ phần Xuất nhập khẩu Hàng không,Tư vấn & Hỗ trợ Kinh doanh
ART,UPCOM,Công ty Cổ phần Chứng khoán BOS,Dịch vụ tài chính
ASA,UPCOM,Công ty Cổ phần ASA,Hàng cá nhân
ASG,HSX,Công ty Cổ phần Tập đoàn ASG,Vận tải
ASM,HSX,Công ty Cổ phần Tập đoàn Sao Mai,Sản xuất thực phẩm
ASP,HSX,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Nước & Khí đốt
AST,HSX,Công ty Cổ phần Dịch vụ Hàng không Taseco,Bán lẻ
ATA,UPCOM,Công ty Cổ phần NTACO,Sản xuất thực phẩm
ATB,UPCOM,Công ty Cổ phần An Thịnh,Xây dựng và Vật liệu
ATG,UPCOM,Công ty Cổ phần An Trường An,Khai khoáng
ATS,HNX,Công ty Cổ phần Tập đoàn Đầu tư ATS,Du lịch & Giải trí
AVC,UPCOM,Công ty Cổ phần Thủy điện A Vương,Sản xuất & Phân phối Điện
AVF,UPCOM,Công ty Cổ phần Việt An,Sản xuất thực phẩm
AVG,UPCOM,Công ty Cổ phần Phân Bón Quốc Tế Âu Việt,Hóa chất
BAB,HNX,Ngân hàng Thương mại Cổ phần Bắc Á,Ngân hàng
BAF,HSX,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Sản xuất thực phẩm
BAL,UPCOM,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Hàng công nghiệp
BAX,HNX,Công ty Cổ phần Thống Nhất,Xây dựng và Vật liệu
BBC,HSX,Công ty Cổ phần Bibica,Sản xuất thực phẩm
BBH,UPCOM,Công ty Cổ phần Bao bì Hoàng Thạch,Hàng công nghiệp
BBM,UPCOM,Công ty Cổ phần Bia Hà Nội - Nam Định,Bia và đồ uống
BBS,HNX,Công ty Cổ phần VICEM Bao bì Bút Sơn,Hàng công nghiệp
BBT,UPCOM,Công ty Cổ phần Bông Bạch Tuyết,Hàng cá nhân
BCA,UPCOM,Công ty cổ phần B.C.H,Kim loại
BCB,UPCOM,Công ty Cổ phần 397,Khai khoáng
BCC,HNX,Công ty Cổ phần Xi măng Bỉm Sơn,Xây dựng và Vật liệu
BCE,HSX,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Xây dựng và Vật liệu
BCF,HNX,Công ty Cổ phần Thực phẩm Bích Chi,Sản xuất thực phẩm
BCG,HSX,Công ty Cổ phần Tập đoàn Bamboo Capital,Dịch vụ tài chính
BCM,HSX,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Bất động sản
BCP,UPCOM,Công ty Cổ phần Dược Enlie,Dược phẩm
BCR,UPCOM,Công ty Cổ phần BCG Land,Xây dựng và Vật liệu
BCV,UPCOM,Công ty Cổ phần Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Du lịch & Giải trí
BDB,HNX,Công ty Cổ phần Sách và Thiết bị Bình Định,Truyền thông
BDG,UPCOM,Công ty Cổ phần May mặc Bình Dương,Hàng cá nhân
BDT,UPCOM,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,Xây dựng và Vật liệu
BDW,UPCOM,Công ty Cổ phần Cấp thoát nước Bình Định,Nước & Khí đốt
BED,HNX,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Truyền thông
BEL,UPCOM,Công ty Cổ phần Điện tử Biên Hòa,Hàng hóa giải trí
BFC,HSX,Công ty Cổ phần Phân bón Bình Điền,Hóa chất
BGE,UPCOM,Công ty Cổ phần BCG Energy,Sản xuất & Phân phối Điện
BGW,UPCOM,Công ty Cổ phần Nước sạch Bắc Giang,Nước & Khí đốt
BHA,UPCOM,Công ty Cổ phần Thủy điện Bắc Hà,Sản xuất & Phân phối Điện
BHC,UPCOM,Công ty Cổ phần Bê tông Biên Hòa,Xây dựng và Vật liệu
BHG,UPCOM,Công ty Cổ phần Chè Biển Hồ,Bia và đồ uống
BHI,UPCOM,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội,Bảo hiểm phi nhân thọ
BHK,UPCOM,Công ty Cổ phần Bia Hà Nội - Kim Bài,Bia và đồ uống
BHN,HSX,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,Bia và đồ uống
BHP,UPCOM,Công ty Cổ phần Bia Hà Nội - Hải Phòng,Bia và đồ uống
BIC,HSX,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm phi nhân thọ
BID,HSX,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng
BIG,UPCOM,Công ty cổ phần BIG Invest Group,Bất động sản
BII,UPCOM,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư,Bất động sản
BIO,UPCOM,Công ty Cổ phần Vắc xin và Sinh phẩm Nha Trang,Dược phẩm
BKC,HNX,Công ty Cổ phần Khoáng sản Bắc Kạn,Khai khoáng
BKG,HSX,Công ty Cổ phần Đầu tư BKG Việt Nam,Hàng gia dụng
BLF,UPCOM,Công ty Cổ phần Thủy sản Bạc Liêu,Sản xuất thực phẩm
BLI,UPCOM,Tổng Công ty Cổ phần Bảo hiểm Bảo Long,Bảo hiểm phi nhân thọ
BLN,UPCOM,Công ty Cổ phần Vận tải và Dịch vụ Liên Ninh,Du lịch & Giải trí
BLT,UPCOM,Công ty Cổ phần Lương thực Bình Định,Sản xuất thực phẩm
BMC,HSX,Công ty Cổ phần Khoáng sản Bình Định,Khai khoáng
BMD,UPCOM,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,Tư vấn & Hỗ trợ Kinh doanh
BMF,UPCOM,Công ty Cổ phần Vật liệu Xây dựng và Chất đốt Đồng Nai,Nước & Khí đốt
BMG,UPCOM,Công ty Cổ phần May Bình Minh,Hàng cá nhân
BMI,HSX,Tổng Công ty Cổ phần Bảo Minh,Bảo hiểm phi nhân thọ
BMJ,UPCOM,Công ty Cổ phần Khoáng sản Miền Đông AHP,Khai khoáng
BMK,UPCOM,Công ty Cổ Phần Kỹ thuật Nhiệt Mèo Đen,Xây dựng và Vật liệu
BMN,UPCOM,Công ty Cổ phần 715,Xây dựng và Vật liệu
BMP,HSX,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu
BMS,UPCOM,Công ty Cổ phần Chứng khoán Bảo Minh,Dịch vụ tài chính
BMV,UPCOM,Công ty Cổ phần Bột mỳ Vinafood 1,Sản xuất thực phẩm
BNA,HNX,Công ty Cổ phần Tập đoàn Đầu tư Bảo Ngọc,Sản xuất thực phẩm
BNW,UPCOM,Công ty Cổ phần Nước sạch Bắc Ninh,Nước & Khí đốt
BOT,UPCOM,Công ty Cổ phần BOT Cầu Thái Hà,Xây dựng và Vật liệu
BPC,HNX,Công ty Cổ phần Vicem Bao bì Bỉm Sơn,Hàng công nghiệp
BQB,UPCOM,Công ty Cổ phần Bia Hà Nội - Quảng Bình,Bia và đồ uống
BRC,HSX,Công ty Cổ phần Cao su Bến Thành,Hóa chất
BRR,UPCOM,Công ty Cổ phần Cao su Bà Rịa,Hóa chất
BRS,UPCOM,Công ty Cổ phần Dịch vụ Đô thị Bà Rịa,Tư vấn & Hỗ trợ Kinh doanh
BSA,UPCOM,Công ty Cổ phần Thủy điện Buôn Đôn,Sản xuất & Phân phối Điện
BSC,HNX,Công ty Cổ phần Dịch vụ Bến Thành,Bất động sản
BSD,UPCOM,"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân",Bia và đồ uống
BSG,UPCOM,Công ty Cổ phần Xe khách Sài Gòn,Du lịch & Giải trí
BSH,UPCOM,Công ty Cổ phần Bia Sài Gòn - Hà Nội,Bia và đồ uống
BSI,HSX,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính
BSL,UPCOM,Công ty Cổ phần Bia Sài Gòn - Sông Lam,Bia và đồ uống
BSP,UPCOM,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Bia và đồ uống
BSQ,UPCOM,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Bia và đồ uống
BSR,HSX,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Sản xuất Dầu khí
BST,HNX,Công ty Cổ phần Sách và Thiết bị Bình Thuận,Truyền thông
BT1,UPCOM,Công ty Cổ phần Bảo vệ thực vật 1 Trung ương,Hóa chất
BT6,UPCOM,Công ty Cổ phần BETON 6,Xây dựng và Vật liệu
BTB,UPCOM,Công ty Cổ phần Bia Hà Nội - Thái Bình,Bia và đồ uống
BTD,UPCOM,Công ty Cổ phần Bê tông ly tâm Thủ Đức,Xây dựng và Vật liệu
BTG,UPCOM,Công ty Cổ phần Bao bì Tiền Giang,Hàng công nghiệp
BTH,UPCOM,Công ty Cổ phần Chế tạo Biến thế và Vật liệu Điện Hà Nội,Điện tử & Thiết bị điện
BTN,UPCOM,Công ty Cổ phần Đầu tư Bitco Bình Định,Xây dựng và Vật liệu
BTP,HSX,Công ty Cổ phần Nhiệt điện Bà Rịa,Sản xuất & Phân phối Điện
BTS,HNX,Công ty Cổ phần Xi măng VICEM Bút Sơn,Xây dựng và Vật liệu
BTT,HSX,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,Bán lẻ
BTU,UPCOM,Công ty Cổ phần Công trình Đô thị Bến Tre,Tư vấn & Hỗ trợ Kinh doanh
BTV,UPCOM,Công ty Cổ phần Dịch vụ Du lịch Bến Thành,Du lịch & Giải trí
BTW,HNX,Công ty Cổ phần Cấp nước Bến Thành,Nước & Khí đốt
BVB,UPCOM,Ngân hàng Thương mại Cổ phần Bản Việt,Ngân hàng
BVG,UPCOM,Công ty Cổ phần Group Bắc Việt,Kim loại
BVH,HSX,Tập đoàn Bảo Việt,Bảo hiểm nhân thọ
BVL,UPCOM,Công ty Cổ phần BV Land,Bất động sản
BVN,UPCOM,Công ty Cổ phần Bông Việt Nam,Hàng cá nhân
BVS,HNX,Công ty Cổ phần Chứng khoán Bảo Việt,Dịch vụ tài chính
BWA,UPCOM,Công ty Cổ phần Cấp thoát nước và Xây dựng Bảo Lộc,Nước & Khí đốt
BWE,HSX,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,Nước & Khí đốt
BWS,UPCOM,Công ty Cổ phần Cấp Nước Bà Rịa - Vũng Tàu,Nước & Khí đốt
BXH,HNX,Công ty Cổ phần VICEM Bao bì Hải Phòng,Hàng công nghiệp
C12,UPCOM,Công ty Cổ phần Cầu 12,Xây dựng và Vật liệu
C21,UPCOM,Công ty Cổ phần Thế kỷ 21,Bất động sản
C22,UPCOM,Công ty Cổ phần 22,Sản xuất thực phẩm
C32,HSX,Công ty Cổ phần CIC39,Xây dựng và Vật liệu
C47,HSX,Công ty Cổ phần Xây dựng 47,Xây dựng và Vật liệu
C4G,UPCOM,Công ty Cổ phần Tập Đoàn Cienco4,Xây dựng và Vật liệu
C69,HNX,Công ty Cổ phần Xây dựng 1369,Xây dựng và Vật liệu
C92,UPCOM,Công ty Cổ phần Xây dựng và Đầu tư 492,Xây dựng và Vật liệu
CAD,UPCOM,Công ty Cổ phần Chế biến và Xuất khẩu Thủy sản Cadovimex,Sản xuất thực phẩm
CAG,HNX,Công ty Cổ phần Cảng An Giang,Vận tải
CAN,HNX,Công ty Cổ phần Đồ hộp Hạ Long,Sản xuất thực phẩm
CAP,HNX,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Lâm nghiệp và Giấy
CAR,HNX,Công ty cổ phần Tập đoàn Giáo dục Trí Việt,Tư vấn & Hỗ trợ Kinh doanh
CAT,UPCOM,Công ty Cổ phần Thủy sản Cà Mau,Sản xuất thực phẩm
CBI,UPCOM,Công ty Cổ phần Gang thép Cao Bằng,Kim loại
CBS,UPCOM,Công ty Cổ phần Mía đường Cao Bằng,Sản xuất thực phẩm
CC1,UPCOM,Tổng Công ty Xây dựng số 1 - CTCP,Xây dựng và Vật liệu
CC4,UPCOM,Công ty Cổ phần Đầu tư và Xây dựng số 4,Xây dựng và Vật liệu
CCA,UPCOM,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cần Thơ,Sản xuất thực phẩm
CCC,HSX,Công ty Cổ Phần Xây Dựng CDC,Xây dựng và Vật liệu
CCI,HSX,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Nước & Khí đốt
CCL,HSX,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Bất động sản
CCM,UPCOM,Công ty Cổ phần Khoáng sản và Xi măng Cần Thơ,Xây dựng và Vật liệu
CCP,UPCOM,Công ty Cổ phần Cảng Cửa Cấm Hải Phòng,Vận tải
CCR,HNX,Công ty Cổ phần Cảng Cam Ranh,Vận tải
CCT,UPCOM,Công ty Cổ phần Cảng Cần Thơ,Vận tải
CCV,UPCOM,Công ty Cổ phần Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,Xây dựng và Vật liệu
CDC,HSX,Công ty Cổ phần Chương Dương,Xây dựng và Vật liệu
CDG,UPCOM,Công ty Cổ phần Cầu Đuống,Xây dựng và Vật liệu
CDH,UPCOM,Công ty Cổ phần Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,Tư vấn & Hỗ trợ Kinh doanh
CDN,HNX,Công ty Cổ phần Cảng Đà Nẵng,Vận tải
CDO,UPCOM,Công ty Cổ phần Tư vấn Thiết kế và Phát triển Đô thị,Xây dựng và Vật liệu
CDP,UPCOM,Công ty Cổ phần Dược phẩm Trung ương Codupha,Dược phẩm
CDR,UPCOM,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Xây dựng và Vật liệu
CEN,UPCOM,Công ty Cổ phần CENCON Việt Nam,Bán lẻ
CEO,HNX,Công ty Cổ phần Tập đoàn C.E.O,Bất động sản
CET,HNX,Công ty Cổ phần HTC Holding,Hàng cá nhân
CFM,UPCOM,Công ty Cổ phần Đầu tư CFM,Tư vấn & Hỗ trợ Kinh doanh
CFV,UPCOM,Công ty Cổ phần Cà phê Thắng Lợi,Bia và đồ uống
CGV,UPCOM,Công ty Cổ phần Vinaceglass,Xây dựng và Vật liệu
CH5,UPCOM,Công ty Cổ phần Xây dựng số 5 Hà Nội,Xây dựng và Vật liệu
CHC,UPCOM,Công ty Cổ phần Cẩm Hà,Xây dựng và Vật liệu
CHP,HSX,Công ty Cổ phần Thủy điện Miền Trung,Sản xuất & Phân phối Điện
CHS,UPCOM,Công ty Cổ phần Chiếu sáng Công cộng Thành phố Hồ Chí Minh,Nước & Khí đốt
CI5,UPCOM,Công ty Cổ phần Đầu tư Xây dựng số 5,Xây dựng và Vật liệu
CIA,HNX,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,Vận tải
CID,UPCOM,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng,Xây dựng và Vật liệu
CIG,HSX,Công ty Cổ phần COMA 18,Xây dựng và Vật liệu
CII,HSX,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Xây dựng và Vật liệu
CIP,UPCOM,Công ty Cổ phần Xây lắp và Sản xuất Công nghiệp,Xây dựng và Vật liệu
CJC,HNX,Công ty Cổ phần Cơ điện Miền Trung,Điện tử & Thiết bị điện
CK8,UPCOM,Công ty Cổ phần Cơ khí 120,Bất động sản
CKA,UPCOM,Công ty Cổ phần Cơ khí An Giang,Công nghiệp nặng
CKD,UPCOM,Công ty Cổ phần Cơ khí Đông Anh Licogi,Công nghiệp nặng
CKG,HSX,Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Bất động sản
CKV,HNX,Công ty Cổ phần CokyVina,Thiết bị và Phần cứng
CLC,HSX,Công ty Cổ phần Cát Lợi,Thuốc lá
CLG,UPCOM,Công ty Cổ phần Đầu tư và Phát triển Nhà đất Cotec,Bất động sản
CLH,HNX,Công ty Cổ phần Xi măng La Hiên VVMI,Xây dựng và Vật liệu
CLL,HSX,Công ty Cổ phần Cảng Cát Lái,Vận tải
CLM,HNX,Công ty Cổ phần Xuất nhập khẩu Than - Vinacomin,Khai khoáng
CLW,HSX,Công ty Cổ phần Cấp nước Chợ Lớn,Nước & Khí đốt
CLX,UPCOM,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Sản xuất thực phẩm
CMC,HNX,Công ty Cổ phần Đầu tư CMC,Công nghiệp nặng
CMD,UPCOM,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP Hồ Chí Minh,Xây dựng và Vật liệu
CMF,UPCOM,Công ty Cổ phần Thực phẩm Cholimex,Sản xuất thực phẩm
CMG,HSX,Công ty Cổ phần Tập đoàn Công nghệ CMC,Phần mềm & Dịch vụ Máy tính
CMI,UPCOM,Công ty Cổ phần CMISTONE Việt Nam,Xây dựng và Vật liệu
CMK,UPCOM,Công ty Cổ phần Cơ khí Mạo Khê - Vinacomin,Công nghiệp nặng
CMM,UPCOM,Công ty Cổ phần Camimex,Sản xuất thực phẩm
CMN,UPCOM,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Sản xuất thực phẩm
CMP,UPCOM,Công ty Cổ phần Cảng Chân Mây,Vận tải
CMS,HNX,Công ty Cổ phần Tập đoàn CMH Việt Nam,Xây dựng và Vật liệu
CMT,UPCOM,Công ty Cổ phần Công nghệ mạng và Truyền thông,Phần mềm & Dịch vụ Máy tính
CMV,HSX,Công ty Cổ phần Thương nghiệp Cà Mau,Bán lẻ
CMW,UPCOM,Công ty Cổ phần Cấp nước Cà Mau,Nước & Khí đốt
CMX,HSX,Công ty Cổ phần CAMIMEX Group,Sản xuất thực phẩm
CNA,UPCOM,Công ty Cổ phần Tổng công ty Chè Nghệ An,Sản xuất thực phẩm
CNC,UPCOM,Công ty Cổ phần Công nghệ cao Traphaco,Dược phẩm
CNG,HSX,Công ty Cổ phần CNG Việt Nam,Nước & Khí đốt
CNN,UPCOM,"Công ty Cổ phần Tư vấn Công nghệ, Thiết bị và Kiểm định Xây dựng - CONINCO",Xây dựng và Vật liệu
CNT,UPCOM,Công ty Cổ phần Tập đoàn CNT,Xây dựng và Vật liệu
COM,HSX,Công ty Cổ phần Vật tư Xăng dầu,Bán lẻ
CPA,UPCOM,Công ty Cổ phần Cà phê Phước An,Bia và đồ uống
CPC,HNX,Công ty Cổ phần Thuốc sát trùng Cần Thơ,Hóa chất
CPH,UPCOM,Công ty Cổ phần Phục vụ Mai táng Hải Phòng,Bán lẻ
CPI,UPCOM,Công ty Cổ phần Đầu tư Cảng Cái Lân,Vận tải
CQN,UPCOM,Công ty Cổ phần Cảng Quảng Ninh,Vận tải
CQT,UPCOM,Công ty Cổ phần Xi măng Quán Triều VVMI,Xây dựng và Vật liệu
CRC,HSX,Công ty Cổ phần Create Capital Việt Nam,Xây dựng và Vật liệu
CRE,HSX,Công ty Cổ phần Bất động sản Thế Kỷ,Bất động sản
CSC,HNX,Công ty Cổ phần Tập đoàn COTANA,Xây dựng và Vật liệu
CSI,UPCOM,Công ty Cổ phần Chứng khoán Kiến thiết Việt Nam,Dịch vụ tài chính
CSM,HSX,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Ô tô và phụ tùng
CST,HNX,Công ty Cổ phần Than Cao Sơn - TKV,Khai khoáng
CSV,HSX,Công ty Cổ phần Hóa chất Cơ bản miền Nam,Hóa chất
CT3,UPCOM,Công ty Cổ phần Đầu tư và Xây dựng công trình 3,Xây dựng và Vật liệu
CT6,UPCOM,Công ty Cổ phần Công trình 6,Xây dựng và Vật liệu
CTA,UPCOM,Công ty Cổ phần Vinavico,Xây dựng và Vật liệu
CTB,HNX,Công ty Cổ phần Chế tạo Bơm Hải Dương,Công nghiệp nặng
CTC,DELISTED,Công ty Cổ phần Tập đoàn Hoàng Kim Tây Nguyên,Du lịch & Giải trí
CTD,HSX,Công ty Cổ phần Xây dựng Coteccons,Xây dựng và Vật liệu
CTF,HSX,Công ty Cổ phần City Auto,Ô tô và phụ tùng
CTG,HSX,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng
CTI,HSX,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Xây dựng và Vật liệu
CTN,UPCOM,Công ty Cổ phần Xây dựng Công trình ngầm,Xây dựng và Vật liệu
CTP,HNX,Công ty Cổ phần Hoà Bình Takara,Bia và đồ uống
CTR,HSX,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng và Vật liệu
CTS,HSX,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Dịch vụ tài chính
CTT,HNX,Công ty Cổ phần Chế tạo máy Vinacomin,Công nghiệp nặng
CTW,UPCOM,Công ty Cổ phần Cấp thoát nước Cần Thơ,Nước & Khí đốt
CTX,UPCOM,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Xây dựng và Vật liệu
CVN,HNX,Công ty Cổ phần Vinam,Thiết bị và Dịch vụ Y tế
CVT,HSX,Công ty Cổ phần CMC,Xây dựng và Vật liệu
CX8,HNX,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Xây dựng và Vật liệu
CYC,UPCOM,Công ty Cổ phần Gạch men Chang Yih,Xây dựng và Vật liệu
D11,HNX,Công ty Cổ phần Địa ốc 11,Bất động sản
D2D,HSX,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Bất động sản
DAC,UPCOM,Công ty Cổ phần 382 Đông Anh,Xây dựng và Vật liệu
DAD,HNX,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Truyền thông
DAE,HNX,Công ty Cổ phần Sách Giáo dục tại Thành phố Đà Nẵng,Truyền thông
DAG,UPCOM,Công ty Cổ phần Tập đoàn Nhựa Đông Á,Hóa chất
DAH,HSX,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Du lịch & Giải trí
DAN,UPCOM,Công ty Cổ phần Dược Danapha,Dược phẩm
DAS,UPCOM,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,Ô tô và phụ tùng
DAT,HSX,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,Sản xuất thực phẩm
DBC,HSX,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Sản xuất thực phẩm
DBD,HSX,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),Dược phẩm
DBM,UPCOM,Công ty Cổ phần Dược - Vật tư Y tế Đắk Lắk,Dược phẩm
DBT,HSX,Công ty Cổ phần Dược phẩm Bến Tre,Dược phẩm
